"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1934036271296586213","Sat Jun 14 23:52:34 +0000 2025","5","Presiden Prabowo akan kesulitan benahi masalah bangsa yang carut-marut bilamana orang-orang Jokowi masih ada dalam kabinet. Orang-orang titipan Jokowi bukannya membantu tapi hanya menjadi beban Prabowo. Presiden Prabowo dalam kondisi dan posisi dilematis.","1934036271296586213","","","in","","0","1","0","https://x.com/undefined/status/1934036271296586213","121425273",
"1933904460801298686","Sat Jun 14 22:53:59 +0000 2025","0","@hapuskanpinjol @kompascom Tito dan loyalis Jokowi lainnya yg berada di kabinet @prabowo tidak ada yg menganggap Prabowo Presiden mereka merasa bahwa atasannya adalah Jokowi mereka bekerja untuk kepentingan Jokowi. Hal spt ini kalau dibiarkan akan jd polemik &amp; bs jd ancaman terhadap presiden","1934021528582238545","","hapuskanpinjol","in","","0","0","0","https://x.com/undefined/status/1934021528582238545","2348139475",
"1933533433248297295","Sat Jun 14 22:40:57 +0000 2025","0","@124hmahHastuti1 Lebih dari pantas klau perlu hilang dari sejarah negeri ini. Kenapa dia diangakat lagi jd menteri d era presiden prabowo patut diduga karena cawe-cawe mulyono. Org ini jd instabilitas dlm kabinet merah putih. Peca","1934018247890022436","","124hmahHastuti1","in","","0","0","0","https://x.com/undefined/status/1934018247890022436","1427055408980525057",
"1933566489258570091","Sat Jun 14 22:17:10 +0000 2025","0","@ferrykoto Dan sekarang tetap dipelihara oleh @prabowo jadilah kabinet omon2 . ","1934012264069403068","","ferrykoto","in","","0","0","0","https://x.com/undefined/status/1934012264069403068","770398151324807168",
"1933943424186794231","Sat Jun 14 21:53:57 +0000 2025","2","@Dito101074 Sayangnya pelemahan pemerintahan bapak prabowo ada di dalam kabinet pak prabowo sendiri Terutama pelaku-pelaku korupsi semasa jokowi Apakah bapak prabowo menyadari hal ini ????","1934006420846137511","","Dito101074","in","","0","0","1","https://x.com/undefined/status/1934006420846137511","718082449868128256",
"1933533433248297295","Sat Jun 14 20:44:45 +0000 2025","0","@124hmahHastuti1 DIPECAT DARI KABINET PRABOWO !","1933989006662115765","","124hmahHastuti1","in","","0","0","0","https://x.com/undefined/status/1933989006662115765","1649735842062282752",
"1933856223813898737","Sat Jun 14 20:21:12 +0000 2025","0","@NgkongRoses @ch_chotimah2 ga ada yang bisa dibanggakan dari kabinet prabowo sekarang.. to*ol semua..","1933983080169230627","","NgkongRoses","in","","0","0","0","https://x.com/undefined/status/1933983080169230627","1479029644703637507",
"1933428744431284615","Sat Jun 14 18:15:55 +0000 2025","0","@anaknyasiape @NenkMonica jokowi sudah wariskan Perppu utk semua mentri (khususnya mentri titipan) di kabinet prabowo tentang hak mengeluarkan Permen","1933951550000652329","","anaknyasiape","in","","0","0","0","https://x.com/undefined/status/1933951550000652329","1919087424296370176",
"1933579121411735699","Sat Jun 14 18:08:20 +0000 2025","0","@matchstickthief satu kali ngomong asing dimasukkan kabinet prabowo","1933949641294549284","","matchstickthief","in","","0","1","0","https://x.com/undefined/status/1933949641294549284","1114532200941150210",
"1933854001008980348","Sat Jun 14 17:46:11 +0000 2025","0","@BosPurwa @prabowo @bahlillahadalia prabowo mana berani melakukan reshefulle kabinet mengganti BLT. yg ada bakal prabowo bs di mazulkan sama BOS BLT.","1933944068008227305","","BosPurwa","in","","0","0","0","https://x.com/undefined/status/1933944068008227305","797421402185867268",
"1933892246472212518","Sat Jun 14 17:37:03 +0000 2025","0","@zoelfick @bobbynasution_ @prabowo Menurut orang dungu ini masalah 4 pulau Aceh presiden Prabowo tidak tahu apa2. Semua krn keserakahan Mendagri Tito Karnavian dan gubernur Bobby atas perintah Jokowi. Prabowo gak tahu tidak ada rapat kabinet membahas ini. Betapa dungu nya ente @zoelfick .","1933941769500279159","","zoelfick","in","","0","2","0","https://x.com/undefined/status/1933941769500279159","1761745937586966528",
"1933533433248297295","Sat Jun 14 17:04:59 +0000 2025","0","@124hmahHastuti1 Pak Pres @prabowo tolong jangan ada lagi kabinet merah (antek2 Projo). Cukup kabinet putih saja seperti baju dinas yg sering Pak Pres kenakan.","1933933699634250151","","124hmahHastuti1","in","","0","0","0","https://x.com/undefined/status/1933933699634250151","1892522176366141440",
"1933865471293685834","Sat Jun 14 16:36:40 +0000 2025","0","@susipudjiastuti @prabowo @KemensetnegRI @setkabgoid @Gerindra Ibu dikeluarin luhut dari kabinet n sekarang luhut lebih powerful dari jaman jokowi","1933926575239770513","","susipudjiastuti","in","","0","0","0","https://x.com/undefined/status/1933926575239770513","2983304546",
"1933880355431555581","Sat Jun 14 15:43:00 +0000 2025","40","@NenkMonica Gak usah Repot-repot Pak @prabowo Singkirkan saja Circle Toxic (Pengkhianat) yg ada di Kabinet anda. klo semakin dibiarkan dipastikan menteri2 Toxic itu akan melakukan Percepatan Punahnya Indonesia 2030.","1933913067118866776","","NenkMonica","in","","0","1","3","https://x.com/undefined/status/1933913067118866776","116373476",
"1933854001008980348","Sat Jun 14 15:39:09 +0000 2025","0","@BosPurwa @prabowo @bahlillahadalia Iya pak ganti aja tuh Menteri titipan ngerusak negara dan ngerusak kabinet itu","1933912099316806120","","BosPurwa","in","","0","0","0","https://x.com/undefined/status/1933912099316806120","1925338718564753412",
